Name,Active,MCS
NIP_47,NIP,0.262
NIP_48,NIP,0.209
NIP_49,NIP,0.244
NIP_50,NIP,0.293
NIP_51,NIP,0.22
NIP_52,NIP,0.163
NIP_53,NIP,0.17
NIP_54,NIP,0.256
NIP_55,NIP,0.167
NIP_56,NIP,0.225
NIP_57,NIP,0.174
NIP_58,NIP,0.244
NIP_59,NIP,0.244
NIP_60,NIP,0.238
NIP_61,NIP,0.196
NIP_62,NIP,0.17
NIP_63,NIP,0.174
NIP_64,NIP,0.178
NIP_65,NIP,0.238
NIP_66,NIP,0.2
NIP_67,NIP,0.205
NIP_68,NIP,0.17
NIP_69,NIP,0.341
NIP_70,NIP,0.244
NIP_71,NIP,0.286
NIP_72,NIP,0.286
NIP_73,NIP,0.178
NIP_74,NIP,0.156
NIP_75,NIP,0.156
NIP_76,NIP,0.4
NIP_77,NIP,0.39
NIP_78,NIP,0.462
NIP_79,NIP,0.222
NIP_80,NIP,0.267
NIP_81,NIP,0.349
NIP_82,NIP,0.205
NIP_83,NIP,0.174
NIP_84,NIP,0.217
NIP_85,NIP,0.217
NIP_86,NIP,0.2
NIP_87,NIP,0.174
NIP_88,NIP,0.178
NIP_89,NIP,0.2
NIP_90,NIP,0.217
NIP_91,NIP,0.279
NIP_92,NIP,0.273
NIP_93,NIP,0.3
NIP_94,NIP,0.293
NIP_95,NIP,0.25
NIP_96,NIP,0.262
NIP_97,NIP,0.163
NIP_98,NIP,0.178
NIP_99,NIP,0.256
NIP_100,NIP,0.209
SB2_1,SB2,0.4
SB2_2,SB2,0.268
SB2_3,SB2,0.289
SB2_4,SB2,0.405
SB2_5,SB2,0.35
SB2_6,SB2,0.333
SB2_7,SB2,0.231
SB2_8,SB2,0.306
SB2_9,SB2,0.35
SB2_10,SB2,0.237
SB2_11,SB2,0.469
SB2_12,SB2,0.211
SB2_13,SB2,0.243
SB2_14,SB2,0.424
SB2_15,SB2,0.278
SB2_16,SB2,0.382
SB2_17,SB2,0.514
SB2_18,SB2,0.412
SB2_19,SB2,0.485
SB2_20,SB2,0.263
SB2_21,SB2,0.375
SB2_22,SB2,0.205
SB2_23,SB2,0.469
SB2_24,SB2,0.485
SB2_25,SB2,0.444
SB2_26,SB2,0.529
SB2_27,SB2,0.424
SB2_28,SB2,0.472
SB2_29,SB2,0.382
SB2_30,SB2,0.382
SB2_31,SB2,0.343
SB2_32,SB2,0.382
SB2_33,SB2,0.333
SB2_34,SB2,0.238
SB2_35,SB2,0.231
SB2_36,SB2,0.211
SB2_37,SB2,0.211
SB2_38,SB2,0.316
SB2_39,SB2,0.316
SB2_40,SB2,0.382
SB2_41,SB2,0.432
SB2_42,SB2,0.5
SB2_43,SB2,0.175
SB2_44,SB2,0.27
SB2_45,SB2,0.412
SB2_46,SB2,0.5
SB2_47,SB2,0.5
SB2_48,SB2,0.394
SB2_49,SB2,0.343
SB2_50,SB2,0.231
ALZ_1,ALZ,0.205
ALZ_2,ALZ,0.231
ALZ_3,ALZ,0.195
ALZ_4,ALZ,0.216
ALZ_5,ALZ,0.216
ALZ_6,ALZ,0.189
ALZ_7,ALZ,0.211
ALZ_8,ALZ,0.25
ALZ_9,ALZ,0.225
ALZ_10,ALZ,0.2
ALZ_11,ALZ,0.2
ALZ_12,ALZ,0.175
ALZ_13,ALZ,0.222
ALZ_14,ALZ,0.2
ALZ_15,ALZ,0.229
ALZ_16,ALZ,0.237
ALZ_17,ALZ,0.25
ALZ_18,ALZ,0.257
ALZ_19,ALZ,0.222
ALZ_20,ALZ,0.216
ALZ_21,ALZ,0.216
ALZ_22,ALZ,0.25
ALZ_23,ALZ,0.257
ALZ_24,ALZ,0.265
ALZ_25,ALZ,0.216
ALZ_26,ALZ,0.222
ALZ_27,ALZ,0.205
ALZ_28,ALZ,0.243
ALZ_29,ALZ,0.278
ALZ_30,ALZ,0.225
ALZ_31,ALZ,0.205
ALZ_32,ALZ,0.158
ALZ_33,ALZ,0.216
ALZ_34,ALZ,0.158
ALZ_35,ALZ,0.216
ALZ_36,ALZ,0.22
ALZ_37,ALZ,0.195
ALZ_38,ALZ,0.225
ALZ_39,ALZ,0.211
ALZ_40,ALZ,0.216
ALZ_41,ALZ,0.216
ALZ_42,ALZ,0.237
ALZ_43,ALZ,0.184
ALZ_44,ALZ,0.256
ALZ_45,ALZ,0.278
ALZ_46,ALZ,0.237
ALZ_47,ALZ,0.184
ALZ_48,ALZ,0.25
ALZ_49,ALZ,0.216
ALZ_50,ALZ,0.265
ZYA_1,ZYA,0.295
ZYA_2,ZYA,0.227
ZYA_3,ZYA,0.295
ZYA_4,ZYA,0.239
ZYA_5,ZYA,0.234
ZYA_6,ZYA,0.239
ZYA_7,ZYA,0.149
ZYA_8,ZYA,0.333
ZYA_9,ZYA,0.217
ZYA_10,ZYA,0.277
ZYA_11,ZYA,0.261
ZYA_12,ZYA,0.188
ZYA_13,ZYA,0.16
ZYA_14,ZYA,0.163
ZYA_15,ZYA,0.244
ZYA_16,ZYA,0.222
ZYA_17,ZYA,0.188
ZYA_18,ZYA,0.213
ZYA_19,ZYA,0.273
ZYA_20,ZYA,0.255
ZYA_21,ZYA,0.244
ZYA_22,ZYA,0.188
ZYA_23,ZYA,0.217
ZYA_24,ZYA,0.167
ZYA_25,ZYA,0.267
ZYA_26,ZYA,0.289
ZYA_27,ZYA,0.208
ZYA_28,ZYA,0.244
ZYA_29,ZYA,0.267
ZYA_30,ZYA,0.25
ZYA_31,ZYA,0.295
ZYA_32,ZYA,0.289
ZYA_33,ZYA,0.217
ZYA_34,ZYA,0.244
ZYA_35,ZYA,0.213
ZYA_36,ZYA,0.213
ZYA_37,ZYA,0.224
ZYA_38,ZYA,0.222
ZYA_39,ZYA,0.244
ZYA_40,ZYA,0.217
ZYA_41,ZYA,0.295
ZYA_42,ZYA,0.302
ZYA_43,ZYA,0.316
ZYA_44,ZYA,0.205
ZYA_45,ZYA,0.227
ZYA_46,ZYA,0.277
ZYA_47,ZYA,0.289
ZYA_48,ZYA,0.182
ZYA_49,ZYA,0.213
ZYA_50,ZYA,0.295
NPE_1,NPE,0.184
NPE_2,NPE,0.2
NPE_3,NPE,0.184
NPE_4,NPE,0.2
NPE_5,NPE,0.206
NPE_6,NPE,0.206
NPE_7,NPE,0.206
NPE_8,NPE,0.176
NPE_9,NPE,0.258
NPE_10,NPE,0.206
NPE_11,NPE,0.147
NPE_12,NPE,0.188
NPE_13,NPE,0.206
NPE_14,NPE,0.176
NPE_15,NPE,0.194
NPE_16,NPE,0.158
NPE_17,NPE,0.219
NPE_18,NPE,0.206
NPE_19,NPE,0.25
NPE_20,NPE,0.212
NPE_21,NPE,0.111
NPE_22,NPE,0.206
NPE_23,NPE,0.194
NPE_24,NPE,0.114
NPE_25,NPE,0.219
NPE_26,NPE,0.139
NPE_27,NPE,0.222
NPE_28,NPE,0.139
NPE_29,NPE,0.206
NPE_30,NPE,0.212
NPE_31,NPE,0.242
NPE_32,NPE,0.229
NPE_33,NPE,0.128
NPE_34,NPE,0.235
NPE_35,NPE,0.194
NPE_36,NPE,0.206
NPE_37,NPE,0.206
NPE_38,NPE,0.206
NPE_39,NPE,0.219
NPE_40,NPE,0.206
NPE_41,NPE,0.212
NPE_42,NPE,0.206
NPE_43,NPE,0.188
NPE_44,NPE,0.212
NPE_45,NPE,0.206
NPE_46,NPE,0.212
NPE_47,NPE,0.219
NPE_48,NPE,0.206
NPE_49,NPE,0.182
NPE_50,NPE,0.176
IN4_1,IN4,0.324
IN4_2,IN4,0.093
IN4_3,IN4,0.222
IN4_4,IN4,0.27
IN4_5,IN4,0.116
IN4_6,IN4,0.085
IN4_7,IN4,0.089
IN4_8,IN4,0.085
IN4_9,IN4,0.085
IN4_10,IN4,0.091
IN4_11,IN4,0.119
IN4_12,IN4,0.216
IN4_13,IN4,0.175
IN4_14,IN4,0.179
IN4_15,IN4,0.231
IN4_16,IN4,0.211
IN4_17,IN4,0.15
IN4_18,IN4,0.286
IN4_19,IN4,0.116
IN4_20,IN4,0.175
IN4_21,IN4,0.19
IN4_22,IN4,0.146
IN4_23,IN4,0.15
IN4_24,IN4,0.182
IN4_25,IN4,0.152
IN4_26,IN4,0.178
IN4_27,IN4,0.205
IN4_28,IN4,0.2
IN4_29,IN4,0.27
IN4_30,IN4,0.263
IN4_31,IN4,0.231
IN4_32,IN4,0.314
IN4_33,IN4,0.343
IN4_34,IN4,0.343
IN4_35,IN4,0.175
IN4_36,IN4,0.175
IN4_37,IN4,0.171
IN4_38,IN4,0.237
IN4_39,IN4,0.231
IN4_40,IN4,0.237
IN4_41,IN4,0.146
IN4_42,IN4,0.25
IN4_43,IN4,0.278
IN4_44,IN4,0.237
IN4_45,IN4,0.231
IN4_46,IN4,0.297
IN4_47,IN4,0.455
IN4_48,IN4,0.371
IN4_49,IN4,0.27
IN4_50,IN4,0.273
RDC_1,RDC,0.308
RDC_2,RDC,0.167
RDC_3,RDC,0.289
RDC_4,RDC,0.158
RDC_5,RDC,0.316
RDC_6,RDC,0.268
RDC_7,RDC,0.361
RDC_8,RDC,0.289
RDC_9,RDC,0.471
RDC_10,RDC,0.351
RDC_11,RDC,0.268
RDC_12,RDC,0.158
RDC_13,RDC,0.275
RDC_14,RDC,0.163
RDC_15,RDC,0.243
RDC_16,RDC,0.243
RDC_17,RDC,0.514
RDC_18,RDC,0.351
RDC_19,RDC,0.297
RDC_20,RDC,0.351
RDC_21,RDC,0.324
RDC_22,RDC,0.289
RDC_23,RDC,0.25
RDC_24,RDC,0.211
RDC_25,RDC,0.184
RDC_26,RDC,0.125
RDC_27,RDC,0.179
RDC_28,RDC,0.189
RDC_29,RDC,0.179
RDC_30,RDC,0.268
RDC_31,RDC,0.3
RDC_32,RDC,0.22
RDC_33,RDC,0.268
RDC_34,RDC,0.262
RDC_35,RDC,0.351
RDC_36,RDC,0.262
RDC_37,RDC,0.262
RDC_38,RDC,0.333
RDC_39,RDC,0.438
RDC_40,RDC,0.154
RDC_41,RDC,0.244
RDC_42,RDC,0.27
RDC_43,RDC,0.15
RDC_44,RDC,0.15
RDC_45,RDC,0.179
RDC_46,RDC,0.4
RDC_47,RDC,0.25
RDC_48,RDC,0.15
RDC_49,RDC,0.268
RDC_50,RDC,0.289
SB4_1,SB4,0.324
SB4_2,SB4,0.324
SB4_3,SB4,0.316
SB4_4,SB4,0.216
SB4_5,SB4,0.179
SB4_6,SB4,0.211
SB4_7,SB4,0.353
SB4_8,SB4,0.257
SB4_9,SB4,0.314
SB4_10,SB4,0.243
SB4_11,SB4,0.394
SB4_12,SB4,0.194
SB4_13,SB4,0.243
SB4_14,SB4,0.438
SB4_15,SB4,0.278
SB4_16,SB4,0.452
SB4_17,SB4,0.25
SB4_18,SB4,0.25
SB4_19,SB4,0.353
SB4_20,SB4,0.286
SB4_21,SB4,0.364
SB4_22,SB4,0.364
SB4_23,SB4,0.243
SB4_24,SB4,0.353
SB4_25,SB4,0.394
SB4_26,SB4,0.394
SB4_27,SB4,0.333
SB4_28,SB4,0.344
SB4_29,SB4,0.394
SB4_30,SB4,0.467
SB4_31,SB4,0.467
SB4_32,SB4,0.243
SB4_33,SB4,0.243
SB4_34,SB4,0.438
SB4_35,SB4,0.211
SB4_36,SB4,0.452
SB4_37,SB4,0.452
SB4_38,SB4,0.406
SB4_39,SB4,0.394
SB4_40,SB4,0.394
SB4_41,SB4,0.467
SB4_42,SB4,0.438
SB4_43,SB4,0.438
SB4_44,SB4,0.517
SB4_45,SB4,0.353
SB4_46,SB4,0.364
SB4_47,SB4,0.353
SB4_48,SB4,0.484
SB4_49,SB4,0.394
SB4_50,SB4,0.517
SB4_51,SB4,0.389
SB4_52,SB4,0.457
SB4_53,SB4,0.4
SB4_54,SB4,0.294
SB4_55,SB4,0.353
SB4_56,SB4,0.484
SB4_57,SB4,0.343
SB4_58,SB4,0.286
SB4_59,SB4,0.364
SB4_60,SB4,0.438
SB4_61,SB4,0.394
SB4_62,SB4,0.484
SB4_63,SB4,0.412
SB4_64,SB4,0.444
SB4_65,SB4,0.405
SB4_66,SB4,0.441
SB4_67,SB4,0.243
SB4_68,SB4,0.333
SB4_69,SB4,0.412
SB4_70,SB4,0.378
SB4_71,SB4,0.567
SB4_72,SB4,0.278
SB4_73,SB4,0.394
SB4_74,SB4,0.25
SB4_75,SB4,0.278
SB4_76,SB4,0.371
SB4_77,SB4,0.471
SB4_78,SB4,0.394
SB4_79,SB4,0.394
SB4_80,SB4,0.406
SB4_81,SB4,0.536
SB4_82,SB4,0.467
SB4_83,SB4,0.607
SB4_84,SB4,0.438
SB4_85,SB4,0.375
SB4_86,SB4,0.419
SB4_87,SB4,0.438
SB4_88,SB4,0.467
SB4_89,SB4,0.375
SB4_90,SB4,0.484
SB4_91,SB4,0.438
SB4_92,SB4,0.353
SB4_93,SB4,0.484
SB4_94,SB4,0.438
SB4_95,SB4,0.394
SB4_96,SB4,0.406
SB4_97,SB4,0.484
SB4_98,SB4,0.375
SB4_99,SB4,0.406
SB4_100,SB4,0.278
SB5_1,SB5,0.424
SB5_2,SB5,0.586
SB5_3,SB5,0.419
SB5_4,SB5,0.387
SB5_5,SB5,0.467
SB5_6,SB5,0.303
SB5_7,SB5,0.467
SB5_8,SB5,0.484
SB5_9,SB5,0.294
SB5_10,SB5,0.25
SB5_11,SB5,0.222
SB5_12,SB5,0.294
SB5_13,SB5,0.2
SB5_14,SB5,0.344
SB5_15,SB5,0.265
SB5_16,SB5,0.375
SB5_17,SB5,0.387
SB5_18,SB5,0.438
SB5_19,SB5,0.222
SB5_20,SB5,0.419
SB5_21,SB5,0.303
SB5_22,SB5,0.344
SB5_23,SB5,0.419
SB5_24,SB5,0.467
SB5_25,SB5,0.433
SB5_26,SB5,0.265
SB5_27,SB5,0.333
SB5_28,SB5,0.242
SB5_29,SB5,0.433
SB5_30,SB5,0.345
SB5_31,SB5,0.517
SB5_32,SB5,0.419
SB5_33,SB5,0.333
SB5_34,SB5,0.294
SB5_35,SB5,0.452
SB5_36,SB5,0.452
SB5_37,SB5,0.433
SB5_38,SB5,0.467
SB5_39,SB5,0.517
SB5_40,SB5,0.571
SB5_41,SB5,0.419
SB5_42,SB5,0.257
SB5_43,SB5,0.467
SB5_44,SB5,0.257
SB5_45,SB5,0.438
SB5_46,SB5,0.229
SB5_47,SB5,0.419
SB5_48,SB5,0.448
SB5_49,SB5,0.414
SB5_50,SB5,0.6
SB5_51,SB5,0.286
SB5_52,SB5,0.294
SB5_53,SB5,0.294
SB5_54,SB5,0.176
SB5_55,SB5,0.25
SB5_56,SB5,0.265
SB5_57,SB5,0.419
SB5_58,SB5,0.303
SB5_59,SB5,0.323
SB5_60,SB5,0.206
SB5_61,SB5,0.387
SB5_62,SB5,0.294
SB5_63,SB5,0.571
SB5_64,SB5,0.206
SB5_65,SB5,0.229
SB5_66,SB5,0.257
SB5_67,SB5,0.419
SB5_68,SB5,0.484
SB5_69,SB5,0.394
SB5_70,SB5,0.467
SB5_71,SB5,0.206
SB5_72,SB5,0.229
SB5_73,SB5,0.257
SB5_74,SB5,0.222
SB5_75,SB5,0.406
SB5_76,SB5,0.704
SB5_77,SB5,0.294
SB5_78,SB5,0.265
SB5_79,SB5,0.387
SB5_80,SB5,0.222
SB5_81,SB5,0.242
SB5_82,SB5,0.303
SB5_83,SB5,0.333
SB5_84,SB5,0.433
SB5_85,SB5,0.273
SB5_86,SB5,0.483
SB5_87,SB5,0.438
SB5_88,SB5,0.433
SB5_89,SB5,0.419
SB5_90,SB5,0.242
SB5_91,SB5,0.235
SB5_92,SB5,0.257
SB5_93,SB5,0.257
SB5_94,SB5,0.273
SB5_95,SB5,0.452
SB5_96,SB5,0.452
SB5_97,SB5,0.212
SB5_98,SB5,0.419
SB5_99,SB5,0.294
SB5_100,SB5,0.433
GCA_1,GCA,0.263
GCA_2,GCA,0.27
GCA_3,GCA,0.211
GCA_4,GCA,0.237
GCA_5,GCA,0.184
GCA_6,GCA,0.469
GCA_7,GCA,0.353
GCA_8,GCA,0.314
GCA_9,GCA,0.243
GCA_10,GCA,0.382
GCA_11,GCA,0.438
GCA_12,GCA,0.343
GCA_13,GCA,0.333
GCA_14,GCA,0.263
GCA_15,GCA,0.216
GCA_16,GCA,0.25
GCA_17,GCA,0.406
GCA_18,GCA,0.257
GCA_19,GCA,0.364
GCA_20,GCA,0.306
GCA_21,GCA,0.343
GCA_22,GCA,0.333
GCA_23,GCA,0.289
GCA_24,GCA,0.297
GCA_25,GCA,0.278
GCA_26,GCA,0.211
GCA_27,GCA,0.211
GCA_28,GCA,0.412
GCA_29,GCA,0.263
GCA_30,GCA,0.27
GCA_31,GCA,0.5
GCA_32,GCA,0.278
GCA_33,GCA,0.469
GCA_34,GCA,0.179
GCA_35,GCA,0.531
GCA_36,GCA,0.424
GCA_37,GCA,0.455
GCA_38,GCA,0.406
GCA_39,GCA,0.265
GCA_40,GCA,0.265
GCA_41,GCA,0.455
GCA_42,GCA,0.306
GCA_43,GCA,0.5
GCA_44,GCA,0.382
GCA_45,GCA,0.27
GCA_46,GCA,0.243
GCA_47,GCA,0.205
GCA_48,GCA,0.371
GCA_49,GCA,0.375
GCA_50,GCA,0.231
612_1,612,0.222
612_2,612,0.167
612_3,612,0.211
612_4,612,0.278
612_5,612,0.184
612_6,612,0.278
612_7,612,0.278
612_8,612,0.278
612_9,612,0.229
612_10,612,0.229
612_11,612,0.216
612_12,612,0.158
612_13,612,0.216
612_14,612,0.265
612_15,612,0.184
612_16,612,0.154
612_17,612,0.333
612_18,612,0.25
612_19,612,0.2
612_20,612,0.286
612_21,612,0.243
612_22,612,0.179
612_23,612,0.333
612_24,612,0.154
612_25,612,0.364
612_26,612,0.25
612_27,612,0.179
612_28,612,0.419
612_29,612,0.344
612_30,612,0.303
612_31,612,0.294
612_32,612,0.184
612_33,612,0.344
612_34,612,0.286
612_35,612,0.229
612_36,612,0.229
612_37,612,0.2
612_38,612,0.286
612_39,612,0.265
612_40,612,0.229
612_41,612,0.25
612_42,612,0.25
612_43,612,0.344
612_44,612,0.286
612_45,612,0.257
612_46,612,0.286
612_47,612,0.294
612_48,612,0.2
612_49,612,0.25
612_50,612,0.25
ENH_1,ENH,0.31
ENH_2,ENH,0.419
ENH_3,ENH,0.207
ENH_4,ENH,0.344
ENH_5,ENH,0.435
ENH_6,ENH,0.379
ENH_7,ENH,0.407
ENH_8,ENH,0.464
ENH_9,ENH,0.273
ENH_10,ENH,0.5
ENH_11,ENH,0.344
ENH_12,ENH,0.344
ENH_13,ENH,0.219
ENH_14,ENH,0.344
ENH_15,ENH,0.355
ENH_16,ENH,0.481
ENH_17,ENH,0.423
ENH_18,ENH,0.385
ENH_19,ENH,0.333
ENH_20,ENH,0.444
ENH_21,ENH,0.3
ENH_22,ENH,0.407
ENH_23,ENH,0.321
ENH_24,ENH,0.36
ENH_25,ENH,0.355
ENH_26,ENH,0.226
ENH_27,ENH,0.324
ENH_28,ENH,0.344
ENH_29,ENH,0.429
ENH_30,ENH,0.375
ENH_31,ENH,0.379
ENH_32,ENH,0.259
ENH_33,ENH,0.364
ENH_34,ENH,0.353
ENH_35,ENH,0.344
ENH_36,ENH,0.333
ENH_37,ENH,0.346
ENH_38,ENH,0.37
ENH_39,ENH,0.333
ENH_40,ENH,0.3
ENH_41,ENH,0.241
ENH_42,ENH,0.333
ENH_43,ENH,0.323
ENH_44,ENH,0.355
ENH_45,ENH,0.258
ENH_46,ENH,0.346
ENH_47,ENH,0.4
ENH_48,ENH,0.44
ENH_49,ENH,0.333
ENH_50,ENH,0.333
ESI_1,ESI,0.333
ESI_2,ESI,0.435
ESI_3,ESI,0.435
ESI_4,ESI,0.444
ESI_5,ESI,0.35
ESI_6,ESI,0.409
ESI_7,ESI,0.526
ESI_8,ESI,0.476
ESI_9,ESI,0.435
ESI_10,ESI,0.417
ESI_11,ESI,0.435
ESI_12,ESI,0.455
ESI_13,ESI,0.455
ESI_14,ESI,0.435
ESI_15,ESI,0.455
ESI_16,ESI,0.478
ESI_17,ESI,0.476
ESI_18,ESI,0.391
ESI_19,ESI,0.455
ESI_20,ESI,0.391
ESI_21,ESI,0.455
ESI_22,ESI,0.455
ESI_23,ESI,0.429
ESI_24,ESI,0.435
ESI_25,ESI,0.391
ESI_26,ESI,0.417
ESI_27,ESI,0.375
ESI_28,ESI,0.391
ESI_29,ESI,0.375
ESI_30,ESI,0.556
ESI_31,ESI,0.435
ESI_32,ESI,0.455
ESI_33,ESI,0.455
ESI_34,ESI,0.435
ESI_35,ESI,0.391
ESI_36,ESI,0.391
ESI_37,ESI,0.524
ESI_38,ESI,0.36
ESI_39,ESI,0.5
ESI_40,ESI,0.455
ESI_41,ESI,0.5
ESI_42,ESI,0.478
ESI_43,ESI,0.391
ESI_44,ESI,0.391
ESI_45,ESI,0.391
ESI_46,ESI,0.524
ESI_47,ESI,0.455
ESI_48,ESI,0.455
ESI_49,ESI,0.435
ESI_50,ESI,0.435
BPP_1,BPP,0.341
BPP_2,BPP,0.244
BPP_3,BPP,0.618
BPP_4,BPP,0.368
BPP_5,BPP,0.3
