Name,Active,MCS
NPE_26,NPE,0.2
NPE_27,NPE,0.212
NPE_28,NPE,0.194
NPE_29,NPE,0.167
NPE_30,NPE,0.31
NPE_31,NPE,0.2
NPE_32,NPE,0.211
RDC_1,RDC,0.303
RDC_2,RDC,0.256
RDC_3,RDC,0.289
RDC_4,RDC,0.257
RDC_5,RDC,0.211
RDC_6,RDC,0.216
RDC_7,RDC,0.243
RDC_8,RDC,0.167
RDC_9,RDC,0.282
RDC_10,RDC,0.171
RDC_11,RDC,0.162
RDC_12,RDC,0.306
RDC_13,RDC,0.263
RDC_14,RDC,0.438
RDC_15,RDC,0.143
RDC_16,RDC,0.25
RDC_17,RDC,0.225
RDC_18,RDC,0.235
RDC_19,RDC,0.237
RDC_20,RDC,0.216
RDC_21,RDC,0.286
RDC_22,RDC,0.286
RDC_23,RDC,0.225
RDC_24,RDC,0.162
RDC_25,RDC,0.243
RDC_26,RDC,0.333
RDC_27,RDC,0.2
RDC_28,RDC,0.167
RDC_29,RDC,0.343
RDC_30,RDC,0.438
RDC_31,RDC,0.571
RDC_32,RDC,0.324
SB4_1,SB4,0.406
SB4_2,SB4,0.286
SB4_3,SB4,0.68
SB4_4,SB4,0.483
SB4_5,SB4,0.429
SB4_6,SB4,0.343
SB4_7,SB4,0.286
SB4_8,SB4,0.306
SB4_9,SB4,0.483
SB4_10,SB4,0.406
SB4_11,SB4,0.516
SB4_12,SB4,0.552
SB4_13,SB4,0.308
SB4_14,SB4,0.516
SB4_15,SB4,0.382
SB4_16,SB4,0.441
SB4_17,SB4,0.438
SB4_18,SB4,0.471
SB4_19,SB4,0.429
SB4_20,SB4,0.361
SB4_21,SB4,0.355
SB4_22,SB4,0.484
SB4_23,SB4,0.484
SB4_24,SB4,0.471
SB4_25,SB4,0.229
SB4_26,SB4,0.4
SB4_27,SB4,0.351
SB4_28,SB4,0.351
SB4_29,SB4,0.265
SB4_30,SB4,0.556
SB4_31,SB4,0.516
SB4_32,SB4,0.324
SB5_1,SB5,0.444
SB5_2,SB5,0.242
SB5_3,SB5,0.176
SB5_4,SB5,0.364
SB5_5,SB5,0.5
SB5_6,SB5,0.303
SB5_7,SB5,0.314
SB5_8,SB5,0.394
SB5_9,SB5,0.222
SB5_10,SB5,0.433
SB5_11,SB5,0.286
SB5_12,SB5,0.324
SB5_13,SB5,0.179
SB5_14,SB5,0.314
SB5_15,SB5,0.257
SB5_16,SB5,0.48
SB5_17,SB5,0.243
SB5_18,SB5,0.344
SB5_19,SB5,0.306
SB5_20,SB5,0.25
SB5_21,SB5,0.189
SB5_22,SB5,0.467
SB5_23,SB5,0.361
SB5_24,SB5,0.343
SB5_25,SB5,0.243
SB5_26,SB5,0.257
SB5_27,SB5,0.419
SB5_28,SB5,0.211
SB5_29,SB5,0.333
SB5_30,SB5,0.324
SB5_31,SB5,0.4
SB5_32,SB5,0.343
GCA_1,GCA,0.243
GCA_2,GCA,0.171
GCA_3,GCA,0.135
GCA_4,GCA,0.243
GCA_5,GCA,0.441
GCA_6,GCA,0.225
GCA_7,GCA,0.343
GCA_8,GCA,0.222
GCA_9,GCA,0.297
GCA_10,GCA,0.355
GCA_11,GCA,0.297
GCA_12,GCA,0.353
GCA_13,GCA,0.333
GCA_14,GCA,0.438
GCA_15,GCA,0.263
GCA_16,GCA,0.343
GCA_17,GCA,0.206
GCA_18,GCA,0.194
GCA_19,GCA,0.303
GCA_20,GCA,0.333
GCA_21,GCA,0.519
GCA_22,GCA,0.263
GCA_23,GCA,0.333
GCA_24,GCA,0.231
GCA_25,GCA,0.467
GCA_26,GCA,0.27
GCA_27,GCA,0.289
GCA_28,GCA,0.464
GCA_29,GCA,0.371
GCA_30,GCA,0.333
GCA_31,GCA,0.4
GCA_32,GCA,0.229
612_1,612,0.226
612_2,612,0.355
612_3,612,0.229
612_4,612,0.333
612_5,612,0.242
612_6,612,0.273
612_7,612,0.154
612_8,612,0.355
612_9,612,0.27
612_10,612,0.303
612_11,612,0.179
612_12,612,0.194
612_13,612,0.229
612_14,612,0.25
612_15,612,0.219
612_16,612,0.484
612_17,612,0.243
612_18,612,0.176
612_19,612,0.205
612_20,612,0.281
612_21,612,0.467
612_22,612,0.333
612_23,612,0.379
612_24,612,0.265
612_25,612,0.205
612_26,612,0.27
612_27,612,0.229
612_28,612,0.206
612_29,612,0.448
612_30,612,0.237
612_31,612,0.257
612_32,612,0.216
ENH_1,ENH,0.258
ENH_2,ENH,0.355
ENH_3,ENH,0.367
ENH_4,ENH,0.312
ENH_5,ENH,0.367
ENH_6,ENH,0.344
ENH_7,ENH,0.273
ENH_8,ENH,0.294
ENH_9,ENH,0.345
ENH_10,ENH,0.393
ENH_11,ENH,0.4
ENH_12,ENH,0.591
ENH_13,ENH,0.303
ENH_14,ENH,0.273
ENH_15,ENH,0.257
ENH_16,ENH,0.29
ENH_17,ENH,0.519
ENH_18,ENH,0.324
ENH_19,ENH,0.333
ENH_20,ENH,0.344
ENH_21,ENH,0.303
ENH_22,ENH,0.273
ENH_23,ENH,0.423
ENH_24,ENH,0.414
ENH_25,ENH,0.294
ENH_26,ENH,0.355
ENH_27,ENH,0.294
ENH_28,ENH,0.333
ENH_29,ENH,0.407
ENH_30,ENH,0.323
ENH_31,ENH,0.423
ENH_32,ENH,0.273
ESI_1,ESI,0.182
ESI_2,ESI,0.368
ESI_3,ESI,0.3
ESI_4,ESI,0.368
ESI_5,ESI,0.444
ESI_6,ESI,0.3
ESI_7,ESI,0.389
ESI_8,ESI,0.368
ESI_9,ESI,0.3
ESI_10,ESI,0.444
ESI_11,ESI,0.3
ESI_12,ESI,0.3
ESI_13,ESI,0.526
ESI_14,ESI,0.6
ESI_15,ESI,0.556
ESI_16,ESI,0.273
ESI_17,ESI,0.381
ESI_18,ESI,0.529
ESI_19,ESI,0.5
ESI_20,ESI,0.226
ESI_21,ESI,0.476
ESI_22,ESI,0.292
ESI_23,ESI,0.286
ESI_24,ESI,0.25
ESI_25,ESI,0.421
ESI_26,ESI,0.296
ESI_27,ESI,0.5
ESI_28,ESI,0.4
ESI_29,ESI,0.562
ESI_30,ESI,0.5
ESI_31,ESI,0.476
ESI_32,ESI,0.556
BPP_1,BPP,0.382
BPP_2,BPP,0.289
BPP_3,BPP,0.567
BPP_4,BPP,0.355
BPP_5,BPP,0.455
BPP_6,BPP,0.432
BPP_7,BPP,0.205
BPP_8,BPP,0.444
BPP_9,BPP,0.588
BPP_10,BPP,0.514
BPP_11,BPP,0.625
BPP_12,BPP,0.438
BPP_13,BPP,0.471
BPP_14,BPP,0.484
BPP_15,BPP,0.2
BPP_16,BPP,0.237
BPP_17,BPP,0.256
BPP_18,BPP,0.484
BPP_19,BPP,0.459
BPP_20,BPP,0.268
BPP_21,BPP,0.25
BPP_22,BPP,0.297
BPP_23,BPP,0.625
BPP_24,BPP,0.343
BPP_25,BPP,0.275
BPP_26,BPP,0.342
BPP_27,BPP,0.429
BPP_28,BPP,0.455
BPP_29,BPP,0.405
BPP_30,BPP,0.3
BPP_31,BPP,0.282
BPP_32,BPP,0.424
HOP_1,HOP,0.205
HOP_2,HOP,0.353
HOP_3,HOP,0.405
HOP_4,HOP,0.275
HOP_5,HOP,0.297
HOP_6,HOP,0.308
HOP_7,HOP,0.455
HOP_8,HOP,0.167
HOP_9,HOP,0.333
HOP_10,HOP,0.282
HOP_11,HOP,0.25
HOP_12,HOP,0.548
HOP_13,HOP,0.351
HOP_14,HOP,0.324
HOP_15,HOP,0.275
HOP_16,HOP,0.209
HOP_17,HOP,0.265
HOP_18,HOP,0.238
HOP_19,HOP,0.214
HOP_20,HOP,0.243
HOP_21,HOP,0.167
HOP_22,HOP,0.417
HOP_23,HOP,0.342
HOP_24,HOP,0.237
HOP_25,HOP,0.378
HOP_26,HOP,0.405
HOP_27,HOP,0.455
HOP_28,HOP,0.27
HOP_29,HOP,0.205
HOP_30,HOP,0.417
HOP_31,HOP,0.231
HOP_32,HOP,0.167
MXA_1,MXA,0.314
MXA_2,MXA,0.25
MXA_3,MXA,0.189
MXA_4,MXA,0.586
MXA_5,MXA,0.429
MXA_6,MXA,0.281
MXA_7,MXA,0.258
MXA_8,MXA,0.5
MXA_9,MXA,0.567
MXA_10,MXA,0.4
MXA_11,MXA,0.4
MXA_12,MXA,0.345
MXA_13,MXA,0.5
MXA_14,MXA,0.412
MXA_15,MXA,0.243
MXA_16,MXA,0.343
MXA_17,MXA,0.419
MXA_18,MXA,0.382
MXA_19,MXA,0.212
MXA_20,MXA,0.278
MXA_21,MXA,0.364
MXA_22,MXA,0.375
MXA_23,MXA,0.361
MXA_24,MXA,0.265
MXA_25,MXA,0.289
MXA_26,MXA,0.455
MXA_27,MXA,0.4
MXA_28,MXA,0.389
MXA_29,MXA,0.324
MXA_30,MXA,0.364
MXA_31,MXA,0.441
MXA_32,MXA,0.206
LY2_1,LY2,0.571
LY2_2,LY2,0.281
LY2_3,LY2,0.286
LY2_4,LY2,0.345
LY2_5,LY2,0.235
LY2_6,LY2,0.242
LY2_7,LY2,0.371
LY2_8,LY2,0.312
LY2_9,LY2,0.237
LY2_10,LY2,0.27
LY2_11,LY2,0.4
LY2_12,LY2,0.353
LY2_13,LY2,0.367
LY2_14,LY2,0.382
LY2_15,LY2,0.433
LY2_16,LY2,0.37
LY2_17,LY2,0.6
LY2_18,LY2,0.414
LY2_19,LY2,0.429
LY2_20,LY2,0.516
LY2_21,LY2,0.314
LY2_22,LY2,0.242
LY2_23,LY2,0.189
LY2_24,LY2,0.464
LY2_25,LY2,0.242
LY2_26,LY2,0.419
LY2_27,LY2,0.333
LY2_28,LY2,0.25
LY2_29,LY2,0.438
LY2_30,LY2,0.4
LY2_31,LY2,0.467
LY2_32,LY2,0.429
HEP_1,HEP,0.242
HEP_2,HEP,0.162
HEP_3,HEP,0.077
HEP_4,HEP,0.167
HEP_5,HEP,0.323
HEP_6,HEP,0.139
HEP_7,HEP,0.195
HEP_8,HEP,0.158
HEP_9,HEP,0.364
HEP_10,HEP,0.178
HEP_11,HEP,0.135
HEP_12,HEP,0.184
HEP_13,HEP,0.171
HEP_14,HEP,0.139
HEP_15,HEP,0.294
HEP_16,HEP,0.194
HEP_17,HEP,0.149
HEP_18,HEP,0.233
HEP_19,HEP,0.175
HEP_20,HEP,0.143
HEP_21,HEP,0.231
HEP_22,HEP,0.282
HEP_23,HEP,0.2
HEP_24,HEP,0.257
HEP_25,HEP,0.194
HEP_26,HEP,0.216
HEP_27,HEP,0.216
HEP_28,HEP,0.244
HEP_29,HEP,0.189
HEP_30,HEP,0.242
HEP_31,HEP,0.231
HEP_32,HEP,0.194
AGB_1,AGB,0.281
AGB_2,AGB,0.323
AGB_3,AGB,0.324
AGB_4,AGB,0.306
AGB_5,AGB,0.333
AGB_6,AGB,0.667
AGB_7,AGB,0.324
AGB_8,AGB,0.361
AGB_9,AGB,0.289
AGB_10,AGB,0.286
AGB_11,AGB,0.211
AGB_12,AGB,0.289
AGB_13,AGB,0.333
AGB_14,AGB,0.343
AGB_15,AGB,0.222
AGB_16,AGB,0.306
AGB_17,AGB,0.324
AGB_18,AGB,0.333
AGB_19,AGB,0.297
AGB_20,AGB,0.22
AGB_21,AGB,0.225
AGB_22,AGB,0.548
AGB_23,AGB,0.314
AGB_24,AGB,0.4
AGB_25,AGB,0.275
AGB_26,AGB,0.308
AGB_27,AGB,0.231
AGB_28,AGB,0.433
AGB_29,AGB,0.308
AGB_30,AGB,0.364
AGB_31,AGB,0.387
AGB_32,AGB,0.237
R99_1,R99,0.256
R99_2,R99,0.361
R99_3,R99,0.394
R99_4,R99,0.278
R99_5,R99,0.163
R99_6,R99,0.25
R99_7,R99,0.342
R99_8,R99,0.225
R99_9,R99,0.222
R99_10,R99,0.306
R99_11,R99,0.4
R99_12,R99,0.4
R99_13,R99,0.333
R99_14,R99,0.143
R99_15,R99,0.22
R99_16,R99,0.175
R99_17,R99,0.324
R99_18,R99,0.297
R99_19,R99,0.171
R99_20,R99,0.175
R99_21,R99,0.371
R99_22,R99,0.184
R99_23,R99,0.471
R99_24,R99,0.27
R99_25,R99,0.179
R99_26,R99,0.237
R99_27,R99,0.231
R99_28,R99,0.205
R99_29,R99,0.297
R99_30,R99,0.361
R99_31,R99,0.289
R99_32,R99,0.351
RL2_1,RL2,0.132
RL2_2,RL2,0.289
RL2_3,RL2,0.2
RL2_4,RL2,0.5
RL2_5,RL2,0.289
RL2_6,RL2,0.361
RL2_7,RL2,0.231
RL2_8,RL2,0.237
RL2_9,RL2,0.457
RL2_10,RL2,0.457
RL2_11,RL2,0.263
RL2_12,RL2,0.195
RL2_13,RL2,0.146
RL2_14,RL2,0.306
RL2_15,RL2,0.237
RL2_16,RL2,0.429
RL2_17,RL2,0.333
RL2_18,RL2,0.171
RL2_19,RL2,0.211
RL2_20,RL2,0.567
RL2_21,RL2,0.412
RL2_22,RL2,0.457
RL2_23,RL2,0.389
RL2_24,RL2,0.244
RL2_25,RL2,0.289
RL2_26,RL2,0.485
RL2_27,RL2,0.351
RL2_28,RL2,0.278
RL2_29,RL2,0.361
RL2_30,RL2,0.289
RL2_31,RL2,0.457
RL2_32,RL2,0.314
EFZ_1,EFZ,0.286
EFZ_2,EFZ,0.314
EFZ_3,EFZ,0.258
EFZ_4,EFZ,0.25
EFZ_5,EFZ,0.294
EFZ_6,EFZ,0.333
EFZ_7,EFZ,0.222
EFZ_8,EFZ,0.243
EFZ_9,EFZ,0.314
EFZ_10,EFZ,0.333
EFZ_11,EFZ,0.345
EFZ_12,EFZ,0.4
EFZ_13,EFZ,0.314
EFZ_14,EFZ,0.314
EFZ_15,EFZ,0.286
EFZ_16,EFZ,0.324
EFZ_17,EFZ,0.29
EFZ_18,EFZ,0.333
EFZ_19,EFZ,0.265
EFZ_20,EFZ,0.458
EFZ_21,EFZ,0.278
EFZ_22,EFZ,0.355
EFZ_23,EFZ,0.314
EFZ_24,EFZ,0.355
EFZ_25,EFZ,0.265
EFZ_26,EFZ,0.281
EFZ_27,EFZ,0.324
EFZ_28,EFZ,0.343
EFZ_29,EFZ,0.379
EFZ_30,EFZ,0.312
EFZ_31,EFZ,0.355
EFZ_32,EFZ,0.314
BRL_1,BRL,0.289
BRL_2,BRL,0.205
BRL_3,BRL,0.303
BRL_4,BRL,0.306
BRL_5,BRL,0.353
BRL_6,BRL,0.297
BRL_7,BRL,0.2
BRL_8,BRL,0.231
BRL_9,BRL,0.333
BRL_10,BRL,0.25
BRL_11,BRL,0.324
BRL_12,BRL,0.303
BRL_13,BRL,0.225
BRL_14,BRL,0.216
BRL_15,BRL,0.231
BRL_16,BRL,0.231
BRL_17,BRL,0.225
BRL_18,BRL,0.278
BRL_19,BRL,0.441
BRL_20,BRL,0.206
BRL_21,BRL,0.364
BRL_22,BRL,0.273
BRL_23,BRL,0.171
BRL_24,BRL,0.419
BRL_25,BRL,0.184
BRL_26,BRL,0.351
BRL_27,BRL,0.286
BRL_28,BRL,0.231
BRL_29,BRL,0.333
BRL_30,BRL,0.303
BRL_31,BRL,0.184
BRL_32,BRL,0.382
PRC_1,PRC,0.35
PRC_2,PRC,0.405
PRC_3,PRC,0.412
PRC_4,PRC,0.351
PRC_5,PRC,0.238
PRC_6,PRC,0.441
PRC_7,PRC,0.293
PRC_8,PRC,0.375
PRC_9,PRC,0.351
PRC_10,PRC,0.368
PRC_11,PRC,0.238
PRC_12,PRC,0.233
PRC_13,PRC,0.244
PRC_14,PRC,0.343
PRC_15,PRC,0.31
PRC_16,PRC,0.262
PRC_17,PRC,0.19
PRC_18,PRC,0.429
PRC_19,PRC,0.238
PRC_20,PRC,0.382
PRC_21,PRC,0.128
PRC_22,PRC,0.405
PRC_23,PRC,0.2
PRC_24,PRC,0.371
PRC_25,PRC,0.424
PRC_26,PRC,0.371
PRC_27,PRC,0.22
PRC_28,PRC,0.293
PRC_29,PRC,0.378
PRC_30,PRC,0.594
PRC_31,PRC,0.282
PRC_32,PRC,0.375
9AR_1,9AR,0.184
9AR_2,9AR,0.167
9AR_3,9AR,0.324
9AR_4,9AR,0.412
9AR_5,9AR,0.306
9AR_6,9AR,0.412
9AR_7,9AR,0.225
9AR_8,9AR,0.562
9AR_9,9AR,0.189
9AR_10,9AR,0.229
9AR_11,9AR,0.135
9AR_12,9AR,0.25
9AR_13,9AR,0.216
9AR_14,9AR,0.344
9AR_15,9AR,0.25
9AR_16,9AR,0.316
9AR_17,9AR,0.25
9AR_18,9AR,0.567
9AR_19,9AR,0.235
9AR_20,9AR,0.263
9AR_21,9AR,0.214
9AR_22,9AR,0.195
9AR_23,9AR,0.382
9AR_24,9AR,0.175
9AR_25,9AR,0.256
9AR_26,9AR,0.333
9AR_27,9AR,0.243
9AR_28,9AR,0.175
9AR_29,9AR,0.171
9AR_30,9AR,0.205
9AR_31,9AR,0.243
9AR_32,9AR,0.371
106_1,106,0.172
106_2,106,0.135
106_3,106,0.303
106_4,106,0.25
106_5,106,0.286
106_6,106,0.263
106_7,106,0.237
106_8,106,0.27
106_9,106,0.237
106_10,106,0.294
106_11,106,0.27
106_12,106,0.194
106_13,106,0.263
106_14,106,0.222
106_15,106,0.243
106_16,106,0.256
106_17,106,0.25
106_18,106,0.27
106_19,106,0.25
106_20,106,0.235
106_21,106,0.294
106_22,106,0.25
106_23,106,0.25
106_24,106,0.265
106_25,106,0.278
106_26,106,0.303
106_27,106,0.229
106_28,106,0.189
106_29,106,0.294
106_30,106,0.263
106_31,106,0.27
106_32,106,0.229
PNN_1,PNN,0.27
PNN_2,PNN,0.256
PNN_3,PNN,0.303
PNN_4,PNN,0.296
PNN_5,PNN,0.278
PNN_6,PNN,0.444
PNN_7,PNN,0.567
PNN_8,PNN,0.219
PNN_9,PNN,0.273
PNN_10,PNN,0.452
PNN_11,PNN,0.393
PNN_12,PNN,0.265
PNN_13,PNN,0.179
PNN_14,PNN,0.219
PNN_15,PNN,0.235
PNN_16,PNN,0.387
PNN_17,PNN,0.179
PNN_18,PNN,0.216
PNN_19,PNN,0.303
PNN_20,PNN,0.438
PNN_21,PNN,0.387
PNN_22,PNN,0.407
PNN_23,PNN,0.281
PNN_24,PNN,0.189
PNN_25,PNN,0.25
PNN_26,PNN,0.194
PNN_27,PNN,0.387
PNN_28,PNN,0.25
PNN_29,PNN,0.219
PNN_30,PNN,0.216
PNN_31,PNN,0.37
PNN_32,PNN,0.276
RQ3_1,RQ3,0.552
RQ3_2,RQ3,0.314
RQ3_3,RQ3,0.297
RQ3_4,RQ3,0.263
RQ3_5,RQ3,0.225
RQ3_6,RQ3,0.464
RQ3_7,RQ3,0.162
RQ3_8,RQ3,0.324
RQ3_9,RQ3,0.312
RQ3_10,RQ3,0.375
RQ3_11,RQ3,0.286
RQ3_12,RQ3,0.194
RQ3_13,RQ3,0.139
RQ3_14,RQ3,0.467
RQ3_15,RQ3,0.455
RQ3_16,RQ3,0.333
RQ3_17,RQ3,0.531
RQ3_18,RQ3,0.323
RQ3_19,RQ3,0.531
RQ3_20,RQ3,0.25
RQ3_21,RQ3,0.457
RQ3_22,RQ3,0.5
RQ3_23,RQ3,0.457
RQ3_24,RQ3,0.333
RQ3_25,RQ3,0.531
RQ3_26,RQ3,0.333
RQ3_27,RQ3,0.184
RQ3_28,RQ3,0.27
RQ3_29,RQ3,0.387
RQ3_30,RQ3,0.333
RQ3_31,RQ3,0.552
RQ3_32,RQ3,0.375
FAF_1,FAF,0.188
FAF_2,FAF,0.188
FAF_3,FAF,0.424
FAF_4,FAF,0.241
FAF_5,FAF,0.484
FAF_6,FAF,0.216
FAF_7,FAF,0.294
FAF_8,FAF,0.469
FAF_9,FAF,0.176
FAF_10,FAF,0.176
FAF_11,FAF,0.278
FAF_12,FAF,0.382
FAF_13,FAF,0.5
FAF_14,FAF,0.353
FAF_15,FAF,0.333
FAF_16,FAF,0.257
FAF_17,FAF,0.424
FAF_18,FAF,0.394
FAF_19,FAF,0.481
FAF_20,FAF,0.353
FAF_21,FAF,0.294
FAF_22,FAF,0.286
FAF_23,FAF,0.464
FAF_24,FAF,0.438
FAF_25,FAF,0.278
FAF_26,FAF,0.257
FAF_27,FAF,0.353
FAF_28,FAF,0.5
FAF_29,FAF,0.556
FAF_30,FAF,0.286
FAF_31,FAF,0.211
FAF_32,FAF,0.306
1PU_1,1PU,0.37
1PU_2,1PU,0.429
1PU_3,1PU,0.343
1PU_4,1PU,0.385
1PU_5,1PU,0.216
1PU_6,1PU,0.679
1PU_7,1PU,0.382
1PU_8,1PU,0.333
1PU_9,1PU,0.385
1PU_10,1PU,0.469
1PU_11,1PU,0.333
1PU_12,1PU,0.6
1PU_13,1PU,0.353
1PU_14,1PU,0.353
1PU_15,1PU,0.314
