name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,TotalPackStat,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,VdwSA
decoys_minimizations/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_30_231.pdb,-0.1315651778130577,704.8999999999996,0.5933252420240235,0.4066747579759765,-14.141804503505114,-20.934530139149047,5.430350966330252,5.336501444025316,-0.1143108928509946,0.0,0.0,4.341360872182931,0.0,0.0012569999999999,11.0,0,2,237,0,6,30,0,0,0,1,-5570.821502198985,1,15,2341,585,724,53,299,77,97,8,576,146,180,16,190,45,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5882352941176471,4,4,-0.8749999999999987,97.61,427.7213659373269
decoys_minimizations/mini_1afe_model0_chainH_ALZ_resi600__chainH_hits_1_decoy_ALZ_31_280.pdb,-0.1714035489721654,691.5,0.5929372411161961,0.4070627588838039,-21.631273301856822,-26.665249696435467,5.290190084438166,8.767428021885394,-4.546907739816732,0.0,-1.6186751565174298,4.1360230235852224,1.0,0.005375,8.0,0,2,257,0,11,44,0,0,0,1,-154544.71385901835,2,13,2417,607,738,50,296,78,99,9,731,183,217,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,6,4,-1.455199999999996,96.79000000000002,411.9349666440515
decoys_minimizations/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_22_189.pdb,-0.0887758325276852,615.0999999999985,0.7563220440220819,0.243677955977918,-26.21090443899834,-30.234617125121986,8.494109848520168,6.050562910423878,-3.4319276885694308,0.0,-1.4527195556420909,17.01653322073731,1.0,0.0085489999999999,6.0,0,151,172,0,1,19,0,0,2,0,-90627.60009255844,2,35,2636,648,648,16,574,144,142,2,369,90,91,1,0,0,0,0,0,0,0,0,224,55,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3571428571428571,5,2,2.5367999999999995,86.02000000000001,355.23789269931353
decoys_minimizations/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_38_68.pdb,-0.0981709790471951,622.2999999999993,0.7156806886453043,0.2843193113546957,-16.10246822093177,-29.467364059764805,12.943401348507903,9.465175508461243,-1.5069635551458305,0.0,0.0,11.49538431759237,0.0,0.0004869999999999,10.0,0,149,170,0,2,19,0,0,1,0,81245.97182387121,0,31,2368,603,597,12,430,104,101,4,812,200,200,5,0,0,0,0,0,0,0,0,257,59,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1538461538461538,5,3,1.9614,108.64,341.0593804609566
decoys_minimizations/mini_1aj7_model0_chainH_NPE_resi217__chainL_chainH_hits_1_decoy_NPE_44_103.pdb,-0.1405131665239727,677.7999999999993,0.7759716778832643,0.2240283221167357,-22.47473738399799,-27.47287306532644,11.111849101134167,3.8966830088693314,-4.7786100771211295,0.0,-0.3571074649432404,5.538962171310113,1.0,-0.0085319999999999,7.0,0,147,173,0,7,22,0,0,1,0,304.1743942060639,0,27,2291,577,564,16,351,94,89,2,532,141,146,1,0,0,0,0,0,0,0,0,415,108,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333333334,4,2,1.2284200000000003,86.71000000000001,378.8108365096292
decoys_minimizations/mini_1az8_model0_chainA_IN4_resi1__chainA_hits_1_decoy_IN4_30_143.pdb,-0.083980355743279,605.0199999999986,0.4385236790034917,0.5614763209965083,-16.38777223598254,-19.425988113967605,4.609713022186952,9.248094582356998,-3.9017304358932847,-1.2646958606769516,-1.4257776129971944,2.9215205852668067,2.0,-0.009823,9.0,0,1,119,0,2,69,0,0,0,0,-530.0997572429042,2,4,1448,424,548,38,363,111,140,10,243,68,85,7,116,34,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,4,-2.101299999999996,88.89,386.2320225228012
decoys_minimizations/mini_1az8_model0_chainA_IN4_resi1__chainA_hits_1_decoy_IN4_31_217.pdb,-0.1270454137900099,671.369999999999,0.474377912742764,0.525622087257236,-29.03977488705516,-30.504193808521904,9.439293660795954,11.769154519980248,-7.780719680978848,-1.5057870973633811,-3.243013902963023,-0.6920763034535543,3.0,0.0151989999999999,5.0,0,46,179,0,15,120,0,0,0,1,-206691.67239757985,3,17,1912,560,703,48,464,132,164,14,183,56,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5333333333333333,3,4,-1.599599999999996,88.89,400.7587603798426
decoys_minimizations/mini_1az8_model0_chainA_IN4_resi1__chainA_hits_1_decoy_IN4_4_96.pdb,-0.1076286804419255,646.8899999999994,0.4667765395944083,0.5332234604055918,-26.786936045196967,-28.338472615470664,7.229385204096332,11.72678600524921,-8.344837738221429,-1.2831289110475268,-1.3483182226289223,4.937623291093075,2.0,0.0015459999999999,11.0,0,24,165,0,10,129,0,0,0,0,-261295.5369886393,3,12,2023,598,754,53,223,66,81,6,293,81,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,2,4,-0.7182999999999973,72.54,391.17006177679
decoys_minimizations/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_24_11.pdb,-0.1255006965354759,634.0,0.7750439042573878,0.2249560957426122,-16.85745132907647,-21.110840912426283,3.882476933724434,4.1781010237987175,-0.2001003354936301,0.0,0.0,4.150594152655269,0.0,0.000352,4.0,132,66,30,16,6,0,0,0,0,0,-46273.70445021144,0,11,2194,592,720,15,363,95,111,2,441,126,151,3,0,0,0,0,0,0,0,0,158,44,57,1,189,47,54,2,0,0,0,0,0,0,0,0,0.5714285714285714,4,1,2.1726199999999998,72.63,377.009281263879
decoys_minimizations/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_27_6.pdb,-0.1533787332693392,577.2000000000007,0.7404360043188241,0.2595639956811759,-24.34934977665648,-24.18476341887072,5.449030636079442,3.0508773619731078,-3.677458235051063,0.0,-2.1389665623242458,-2.0915802330039,1.0,0.0226449999999999,4.0,102,102,8,15,5,0,0,0,0,0,-67270.78788000275,1,13,2466,606,735,13,933,254,294,5,0,0,0,0,433,94,111,2,0,0,0,0,0,0,0,0,0,0,0,0,148,38,52,1,0,0,0,0,0.0,5,1,2.9522000000000004,69.62,296.9711364207732
decoys_minimizations/mini_1bgq_model0_chainA_RDC_resi300__chainA_hits_1_decoy_RDC_28_7.pdb,-0.1412287631631483,590.8999999999996,0.7985588084248797,0.2014411915751202,-15.647846756646231,-19.652023389280885,4.665145467996439,4.01437507293042,0.0321976083206436,0.0,0.0,2.699021829682491,0.0,0.0065629999999999,7.0,137,56,30,23,3,0,0,0,0,0,27416.357800841117,0,13,1830,494,620,12,539,145,169,3,325,93,105,2,0,0,0,0,0,0,0,0,165,48,55,1,0,0,0,0,195,49,58,2,0,0,0,0,0.5833333333333334,4,1,2.3778999999999995,76.29,345.2939944782576
decoys_minimizations/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_17_101.pdb,-0.164831978449341,639.7000000000007,0.7012921344197627,0.2987078655802373,-16.310195165166988,-20.200935441074307,5.16983807971701,9.107483222288463,-5.418087684559623,-0.7595399729067367,-3.4641146363584454,12.51740492314239,3.0,0.000144,4.0,0,72,147,0,14,11,0,0,0,0,-152716.00925162682,4,12,1844,536,567,15,446,126,136,4,321,81,99,3,179,48,50,1,0,0,0,0,307,86,93,3,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666666666667,3,3,-0.974799999999998,76.63,356.5651387799126
decoys_minimizations/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_53_176.pdb,-0.2205350215009325,794.9000000000015,0.7232686433465502,0.2767313566534499,-23.99692297670299,-25.417590928064783,8.6694478769316,0.14502386532331,-3.4268242957329,0.0,0.0,24.131870651244377,0.0,0.0068099999999999,4.0,5,158,198,0,8,13,0,0,0,0,66818.90223033003,4,20,2685,749,803,22,827,231,248,6,0,0,0,0,0,0,0,0,0,0,0,0,154,41,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7647058823529411,3,4,-0.3428099999999949,71.39,457.48908437658537
decoys_minimizations/mini_1bl7_model0_chainA_SB4_resi800__chainA_hits_1_decoy_SB4_76_79.pdb,-0.137527746385256,723.2000000000007,0.7057737246081273,0.2942262753918727,-18.956890537169443,-24.4265624318748,14.285367733139708,1.1590218933931735,-2.526800924431427,0.0,0.0,-1.665691667624068,0.0,-0.012019,7.0,35,183,111,0,36,7,0,0,0,1,-22361.52480362024,1,20,2696,699,767,23,923,261,287,10,214,43,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6,5,-2.613099999999995,81.23,431.81314018994016
decoys_minimizations/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_15_21.pdb,-0.1219774860811966,612.2000000000007,0.6566317027660619,0.3433682972339381,-17.18005940511091,-23.68176578281464,9.056215439714949,3.2989231586741425,-0.2244499347810915,0.0,-0.6149871858599596,8.002456102958643,1.0,0.011212,2.0,14,243,38,0,22,13,0,0,1,0,-26878.402688452385,1,18,2096,543,572,23,471,121,130,5,286,74,86,2,0,0,0,0,0,0,0,0,145,39,43,2,217,41,49,2,0,0,0,0,0,0,0,0,0.5384615384615384,3,2,0.219800000000001,67.84,363.74026706391794
decoys_minimizations/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_55_0.pdb,-0.1278503723841466,551.5,0.7727026873428608,0.2272973126571391,-19.91963312537723,-21.7685314480068,7.950654525717823,2.8612079439531044,-2.712452345531233,0.0,-1.7021888286961513,7.867593346485578,1.0,0.000573,3.0,3,193,33,0,23,3,0,0,0,0,-96568.6009167207,2,14,1549,390,415,17,459,130,133,5,298,78,90,3,0,0,0,0,0,0,0,0,347,92,94,3,214,45,48,1,0,0,0,0,0,0,0,0,0.2222222222222222,4,2,2.54224,74.85,295.3268371810142
decoys_minimizations/mini_1bmk_model0_chainA_SB5_resi800__chainA_hits_1_decoy_SB5_73_11.pdb,-0.1736286141171854,682.5999999999985,0.6760016238608846,0.3239983761391155,-12.327168312711592,-23.18205944577176,4.546482167056411,7.631372385120358,0.2796088577327964,0.0,0.0,16.550724507171537,0.0,0.009151,2.0,17,126,119,0,13,7,0,0,1,0,9242.89089390078,0,16,2626,692,728,24,497,127,139,5,306,81,99,3,0,0,0,0,0,0,0,0,165,44,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1333333333333333,4,1,2.2740000000000005,87.19,361.5339560037404
decoys_minimizations/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_3_18.pdb,-0.2278669333203258,746.0999999999985,0.8777384070031626,0.1222615929968373,-33.90327584609372,-36.21479488479099,13.231050147851988,-3.2792866128625064,-1.0088315637206051,0.0,0.0,8.628878466015983,0.0,0.010932,6.0,0,399,71,0,41,2,0,0,0,0,38376.1464985262,0,40,3163,730,737,7,229,52,53,1,817,195,196,0,0,0,0,0,0,0,0,0,215,54,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,4,1,2.869220000000001,64.63000000000001,418.3817292453883
decoys_minimizations/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_7_186.pdb,-0.217239991873974,727.2999999999993,0.8648767221992861,0.1351232778007139,-28.62366574920497,-30.84612868687145,10.893411612590626,-2.3027503260695994,-0.7653229365322431,0.0,0.0,0.7697194595088572,0.0,0.0033299999999999,5.0,0,357,0,0,49,0,0,0,0,0,-43384.707634435545,0,22,3223,737,753,6,397,96,98,0,561,136,143,0,0,0,0,0,0,0,0,0,0,0,0,0,198,42,45,2,0,0,0,0,0,0,0,0,0.5,3,1,3.217600000000002,58.64,392.01081880822807
decoys_minimizations/mini_1c1b_model0_chainA_GCA_resi999__chainA_hits_1_decoy_GCA_9_148.pdb,-0.2392743024059944,754.6999999999971,0.8579631546292356,0.1420368453707644,-33.04578466084649,-34.75923595899121,9.287221163760478,-2.352157886954501,-0.7108097893345757,0.0,0.0,23.605133114077557,0.0,0.00575,7.0,0,340,58,0,32,0,0,0,0,0,53449.18990977402,0,40,3209,739,759,6,435,100,101,2,644,150,157,1,0,0,0,0,0,0,0,0,222,52,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,4,1,3.322820000000001,68.29,403.08077290708366
decoys_minimizations/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_1_67.pdb,-0.2252028313219571,784.7999999999993,0.8587192698402949,0.141280730159705,-31.42564492897077,-30.42896835371721,5.848702465839324,-3.423070497271965,-0.1215494178463814,0.0,0.0,7.131466605086,0.0,0.002736,3.0,0,200,157,0,13,19,0,0,0,0,-28927.286950648944,0,28,3041,700,730,7,201,47,46,1,665,155,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5882352941176471,4,1,3.165000000000001,56.790000000000006,410.2420925101461
decoys_minimizations/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_23_160.pdb,-0.2316969782215376,759.5,0.8478455775220591,0.1521544224779408,-31.90510015664256,-34.57552249356149,10.924238870882164,-2.55538935128152,-0.1070449984862307,0.0,0.0,3.972001582566021,0.0,0.000279,4.0,0,313,52,0,26,9,0,0,0,0,-3548.099621035163,0,37,3141,724,758,12,985,242,237,1,0,0,0,0,0,0,0,0,0,0,0,0,190,42,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,5,1,3.4048000000000016,58.870000000000005,374.8507256809932
decoys_minimizations/mini_1c1c_model0_chainA_612_resi999__chainA_hits_1_decoy_612_32_24.pdb,-0.2192423639155918,758.7000000000007,0.8800661256305756,0.1199338743694243,-27.32816019882341,-31.20821541668238,12.910624972057237,-3.220545289733309,0.4847543006817432,0.0,0.0,6.63766730504368,0.0,-0.005493,1.0,0,235,130,0,7,17,0,0,0,0,82310.83914627077,0,38,3421,801,828,11,199,47,51,0,768,178,179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,5,1,3.4772000000000007,48.95,401.8992564207115
decoys_minimizations/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_16_0.pdb,-0.0940716983084168,574.2000000000007,0.7702512174048214,0.2297487825951785,-19.56655171640932,-22.584357506906827,6.22741664507322,2.4858536391536745,-0.1940008026945179,0.0,0.0,12.091217103490209,0.0,0.00699,9.0,0,188,28,0,26,14,0,0,0,0,21229.55754333982,0,18,2096,584,588,30,130,37,37,2,223,63,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,32,30,2,0,0,0,0,0.8823529411764706,2,0,3.547900000000003,37.38,375.8512437629594
decoys_minimizations/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_2_0.pdb,-0.0469708490800384,576.8999999999996,0.7548598298961607,0.2451401701038392,-16.453121725476876,-21.185321533653223,5.225338942522228,3.737275089443415,-0.6979822526726593,0.0,0.0,9.43843433262574,0.0,-0.0045549999999999,5.0,0,127,41,0,1,18,0,0,0,0,94688.66704415316,0,22,2223,637,610,30,125,35,34,2,296,86,74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,40,45,2,0,0,0,0,0.25,3,0,3.408500000000002,54.45,367.5361196960421
decoys_minimizations/mini_1c1e_model0_chainH_ENH_resi703__chainH_hits_1_decoy_ENH_41_14.pdb,-0.132423507088252,554.6000000000004,0.749816722791977,0.250183277208023,-15.50630315721503,-18.23965410529445,4.863319312671592,1.8257472787365716,-0.6121452993159551,0.0,0.0,5.440534070640054,0.0,-0.007393,9.0,0,104,32,0,6,23,0,0,1,0,-3757.8142778613255,0,10,1279,367,356,20,113,32,29,1,187,59,57,2,0,0,0,0,0,0,0,0,219,63,67,3,188,45,46,4,144,38,40,2,0,0,0,0,0.6,3,0,3.3370000000000024,37.38,291.3152775792996
decoys_minimizations/mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_hits_1_decoy_ESI_15_9.pdb,-0.1074009771958186,549.9699999999993,0.5575826955124006,0.4424173044875993,-23.89915714609367,-27.952367195735405,11.003477751498338,12.027835545540256,-10.2415380733554,-1.3545569003118487,-1.151867695647077,5.597028360464414,3.0,0.0046329999999999,8.0,0,33,145,0,11,105,0,0,0,1,-450117.866810133,1,11,2233,644,785,68,193,59,63,4,161,49,52,4,0,0,0,0,0,0,0,0,139,41,50,4,101,33,40,4,0,0,0,0,0,0,0,0,0.3333333333333333,2,2,2.462,47.870000000000005,329.31557291541617
decoys_minimizations/mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_hits_1_decoy_ESI_46_8.pdb,-0.069963911438504,552.1399999999994,0.5737789212967607,0.4262210787032393,-15.776327123404826,-28.252549436829668,19.88412642767537,8.52977778559034,-3.1639219716200278,-0.9921146607136252,0.0,5.831720337362838,1.0,0.002286,8.0,0,123,94,0,82,46,0,0,0,0,-135068.11152454693,1,22,2398,675,803,80,290,83,100,8,0,0,0,0,0,0,0,0,0,0,0,0,144,45,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0.625,2,2,2.3354,42.63,365.6276605468673
decoys_minimizations/mini_1c5q_model0_chainA_ESI_resi246__chainA_altB_hits_1_decoy_ESI_5_15.pdb,-0.0660902335957538,455.7399999999998,0.5073602905276721,0.4926397094723279,-15.130683396076734,-18.93543744414751,4.401741775980156,6.890046158706809,-3.2078958391633137,0.0,0.0,6.069739348832173,0.0,0.0164999999999999,6.0,0,23,71,0,22,37,0,0,0,0,-127601.3872038658,0,12,1483,412,512,44,255,73,90,9,0,0,0,0,0,0,0,0,0,0,0,0,194,48,62,7,0,0,0,0,109,30,38,2,0,0,0,0,0.0,2,2,2.6194,42.63,247.0274317249372
decoys_minimizations/mini_1d4p_model0_chainB_BPP_resi400__chainB_hits_1_decoy_BPP_31_282.pdb,-0.1649920587918598,790.5,0.6985773770301411,0.3014226229698589,-24.001429962943572,-29.53870092273405,7.001427172447563,5.054836550394839,0.2604182243861714,0.0,0.0,7.053164992077786,0.0,0.0015169999999999,12.0,0,22,219,0,4,102,0,0,0,0,64250.812787924006,0,17,2670,722,837,65,765,191,220,12,158,43,51,5,0,0,0,0,0,0,0,0,140,35,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4705882352941176,5,3,0.7060000000000002,97.51,443.9698096927699
decoys_minimizations/mini_1d4p_model0_chainB_BPP_resi400__chainB_hits_1_decoy_BPP_34_5.pdb,-0.1597238492416792,675.8000000000011,0.7391213640590184,0.2608786359409816,-20.02457431039284,-22.176053209261227,6.667087224721286,7.586652392473525,-6.460049010842511,-2.237496286491464,0.0,4.990111689349691,2.0,-0.033992,5.0,0,30,114,0,27,44,0,0,0,1,-348173.5817557168,2,14,2389,637,737,66,444,114,123,6,153,45,47,4,0,0,0,0,0,0,0,0,149,37,41,2,114,36,38,4,0,0,0,0,0,0,0,0,0.1875,4,2,2.7443000000000004,75.78,352.41499464239354
decoys_minimizations/mini_1d4p_model0_chainB_BPP_resi400__chainB_hits_1_decoy_BPP_36_149.pdb,-0.0535606260373207,571.0,0.6727979544980203,0.3272020455019798,-21.56821822403708,-21.63475971321509,2.9976358042820834,13.985149511993086,-7.720401832455479,-1.6833331398992968,-2.7552582834590176,15.121095735968789,3.0,0.014136,6.0,0,33,123,0,5,71,0,0,0,1,-263608.2338002791,3,11,2009,540,638,55,515,144,163,12,212,55,65,7,135,33,43,4,0,0,0,0,0,0,0,0,0,0,0,0,64,18,19,2,0,0,0,0,0.0714285714285714,2,4,1.3754000000000002,72.25,328.7252580509303
