Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
CR9_19_84,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,1.096,0.81,0.285
CR9_28_16,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,1.035,0.78,0.256
CR9_18_56,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,1.024,0.784,0.241
783_21_78,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,1.123,0.81,0.314
783_24_56,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,1.105,0.809,0.295
783_9_43,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,1.076,0.768,0.307
780_8_15,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,1.169,0.848,0.322
780_6_8,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,1.159,0.778,0.382
780_21_17,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,1.048,0.659,0.389
907_43_127,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.156,0.851,0.305
907_30_82,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.156,0.845,0.311
907_35_22,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.14,0.671,0.469
334_64_3,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,1.215,0.822,0.393
334_61_6,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,1.125,0.804,0.321
334_29_91,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,1.1,0.81,0.29
785_99_88,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,1.056,0.781,0.276
785_62_1,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,1.055,0.825,0.23
785_61_12,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,1.053,0.816,0.238
N20_8_27,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,1.232,0.811,0.421
N20_4_25,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,1.129,0.733,0.397
N20_12_55,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,1.112,0.774,0.337
HDT_24_89,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,1.056,0.669,0.387
HDT_45_36,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,1.023,0.721,0.302
HDT_84_84,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,1.023,0.807,0.217
N41_36_119,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.903,0.665,0.238
N41_37_40,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.895,0.652,0.244
N41_23_109,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.872,0.572,0.299
968_28_38,mini_1onz_model0_chainA_968_resi322__chainA_1,1.029,0.755,0.274
968_12_13,mini_1onz_model0_chainA_968_resi322__chainA_1,0.994,0.659,0.335
968_44_82,mini_1onz_model0_chainA_968_resi322__chainA_1,0.937,0.693,0.244
497_15_238,mini_1owd_model0_chainA_497_resi1001__chainA_1,0.975,0.772,0.203
497_23_214,mini_1owd_model0_chainA_497_resi1001__chainA_1,0.945,0.753,0.192
497_19_149,mini_1owd_model0_chainA_497_resi1001__chainA_1,0.931,0.755,0.176
CO4_10_172,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,1.031,0.624,0.406
CO4_64_99,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,0.986,0.793,0.193
CO4_51_254,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,0.952,0.653,0.299
CK4_5_37,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.1,0.817,0.283
CK4_44_41,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.04,0.838,0.202
CK4_36_170,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.028,0.746,0.283
CK6_9_234,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.12,0.782,0.337
CK6_17_121,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.062,0.754,0.308
CK6_44_78,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.051,0.665,0.386
CK8_17_24,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.226,0.756,0.47
CK8_6_8,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.119,0.757,0.362
CK8_13_8,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.114,0.716,0.398
TMU_42_116,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,1.082,0.747,0.335
TMU_39_71,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,1.036,0.696,0.341
TMU_43_4,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,0.994,0.73,0.264
ZPR_50_175,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,1.117,0.739,0.378
ZPR_25_227,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,1.069,0.813,0.255
ZPR_40_103,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,1.049,0.777,0.272
PP2_46_22,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,1.062,0.695,0.367
PP2_31_6,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,1.045,0.757,0.288
PP2_22_33,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,1.018,0.815,0.202
RDI_50_0,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.806,0.577,0.229
RDI_35_4,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.797,0.638,0.159
RDI_39_39,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.791,0.689,0.102
B1L_14_79,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.909,0.648,0.261
B1L_40_109,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.882,0.71,0.172
B1L_46_61,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.869,0.66,0.209
PG2_48_171,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.823,0.579,0.244
PG2_1_52,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.785,0.574,0.211
PG2_40_292,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.778,0.445,0.333
TQD_41_17,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.956,0.722,0.234
TQD_43_296,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.903,0.749,0.154
TQD_42_27,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.888,0.662,0.226
NGV_44_2,mini_1sjw_model0_chainA_NGV_resi333__chainA_altA_1,0.969,0.739,0.229
NGV_62_1,mini_1sjw_model0_chainA_NGV_resi333__chainA_altA_1,0.968,0.716,0.252
NGV_34_29,mini_1sjw_model0_chainA_NGV_resi333__chainA_altA_1,0.948,0.671,0.278
NDR_39_10,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,1.117,0.733,0.384
NDR_40_7,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,1.116,0.727,0.39
NDR_45_13,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,1.079,0.793,0.286
MOB_33_6,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.305,0.782,0.522
MOB_32_6,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.245,0.748,0.497
MOB_42_33,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.18,0.774,0.406
14A_24_137,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.781,0.663,0.118
14A_94_127,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.779,0.649,0.131
14A_7_13,mini_1t4v_model0_chainH_14A_resi1411__chainH_1,0.777,0.585,0.191
1SM_14_79,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,1.036,0.659,0.377
1SM_4_119,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,0.988,0.661,0.327
1SM_1_180,mini_1t9c_model0_chainA_1SM_resi695__chainA_altA_chainB_altB_1,0.965,0.744,0.221
MIN_60_99,mini_1tom_model0_chainH_MIN_resi1__chainH_1,0.92,0.721,0.198
MIN_66_26,mini_1tom_model0_chainH_MIN_resi1__chainH_1,0.897,0.685,0.212
MIN_20_170,mini_1tom_model0_chainH_MIN_resi1__chainH_1,0.868,0.604,0.264
